Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
554,24.697345353203517,417.1767067432525,136.82329325674746,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
562,24.697345353203517,423.2009191149962,138.79908088500378,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
570,24.697345353203517,429.22513148673994,140.77486851326003,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
578,24.697345353203517,435.2493438584837,142.75065614151632,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
586,24.697345353203517,441.2735562302274,144.7264437697726,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
594,24.697345353203517,447.29776860197114,146.70223139802889,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
602,24.697345353203517,453.32198097371486,148.67801902628517,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
610,24.697345353203517,459.3461933454586,150.65380665454146,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
618,24.697345353203517,465.3704057172023,152.62959428279774,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
626,24.697345353203517,471.394618088946,154.605381911054,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
634,24.697345353203517,477.4188304606897,156.5811695393103,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
642,24.697345353203517,483.44304283243343,158.55695716756657,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
650,24.697345353203517,489.46725520417715,160.53274479582285,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
658,24.697345353203517,495.49146757592086,162.50853242407914,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
666,24.697345353203517,501.5156799476646,164.48432005233542,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
674,24.697345353203517,507.5398923194083,166.4601076805917,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
682,24.697345353203517,513.564104691152,168.435895308848,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
690,24.697345353203517,519.5883170628957,170.41168293710427,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
698,24.697345353203517,525.6125294346394,172.38747056536056,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
706,24.697345353203517,531.6367418063832,174.36325819361682,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
714,24.697345353203517,537.6609541781269,176.33904582187313,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
722,24.697345353203517,543.6851665498706,178.31483345012938,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
730,24.697345353203517,549.7093789216143,180.29062107838567,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
